TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
GameDB04,dbo,CharacterPlayTimeLog_20180315,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150714,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170615,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151202,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20161128,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190401,BASE TABLE
GameDB04,dbo,CharacterCommerceItemRecord,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150904,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180223,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20191126,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180909,BASE TABLE
GameDB04,dbo,CharacterStatInfo,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20150203,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20191104,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20161020,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190223,BASE TABLE
GameDB04,dbo,Housing_CategorySelection,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150409,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20160310,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170717,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180110,BASE TABLE
GameDB04,dbo,Trunk_INS,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20180727,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151014,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20170915,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190127,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190522,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150331,BASE TABLE
GameDB04,dbo,FuncKeyMapped,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160720,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20151213,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20171215,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20191004,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150604,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190115,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20190630,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190917,BASE TABLE
GameDB04,dbo,ItemOptionTransferRecord,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150518,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160416,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160908,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20181220,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150220,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170110,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20191127,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20150704,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20160622,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20171106,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20190319,BASE TABLE
GameDB04,dbo,MachineHuntingPlayTime_20190825,BASE TABLE
GameDB04,dbo,CharacterLevelUpTime_20170307,BASE TABLE
GameDB04,dbo,CharacterPlayTimeLog_20180522,BASE TABLE
